"Name","Ruapuna Road Car Fun Day"
"Section Time","Engine Speed","MAP","MGP","BAP","TP (Main)","Inj Duty Cycle","Inj Duty Cycle (Sec)","Injector PW","ECT","IAT","Batt Voltage","Gear","Injector Timing","Ign Angle","Inlet / LH Posn","Inlet RH Posn","WideBand","Speed (DI1)","Dwell Time"
"s"," RPM"," kPa","kPa"," kPa"," %"," %","%","ms","°C","°C"," V",""," °BTDC","° BTDC","°","°","AFR","kph","ms"

"-259.37","2879","111","11","100.9","80.3","16.6","0","6.929","95","63","13.62","1","470","23.5","23.1","22.7","14.6","22","3.883"
"-259.35","2901","112","12","100.9","80.5","16.7","0","6.929","95","63","13.62","1","470","23.5","22.9","22.5","14.7","22","3.792"
"-259.33","2931","112","12","100.9","82.4","17.6","0","7.211","95","63","13.62","1","470","23.1","22.7","22","14.6","22","3.792"
"-259.31","2942","113","13","100.9","85.2","17.8","0","7.284","95","63","13.62","1","470","22.7","22.3","21.8","14.7","22","3.79"
"-259.29","2957","113","13","100.9","86.3","17.9","0","7.284","95","63","13.62","1","470","22.7","22.1","21.2","14.7","22","3.79"
"-259.27","2961","114","14","100.9","86","18","0","7.3","95","63","13.62","1","470","22.4","21.6","20.9","14.8","22","3.789"
"-259.25","2990","115","15","100.9","85.9","18","0","7.228","95","63","13.62","1","470","22.1","21.4","20.6","14.8","22","3.789"
"-259.23","3010","115","15","100.9","86","18","0","7.2","95","63","13.62","1","470","22.1","21","20.4","14.9","22","3.778"
"-259.21","3042","116","16","100.9","85.9","18.4","0","7.289","95","63","13.62","1","470","21.9","20.8","20.2","14.9","25","3.778"
"-259.19","3072","117","17","100.9","85.9","18.7","0","7.323","95","63","13.62","1","470","21.6","20.5","20.1","14.9","25","3.792"
"-259.17","3111","117","17","100.9","85.9","19.3","0","7.448","95","63","13.62","1","470","21.8","20.3","19.7","14.9","25","3.792"
"-259.15","3163","118","18","100.9","85.9","19.8","0","7.539","95","63","13.62","1","470","21.7","20","19.6","14.9","25","3.69"
"-259.13","3195","119","19","100.9","85.9","20.3","0","7.648","95","63","13.62","1","470","21.7","20","19.3","14.9","25","3.69"
"-259.11","3243","120","20","100.9","85.9","20.9","0","7.795","95","63","13.62","1","470","21.6","19.6","19.2","14.9","25","3.688"
"-259.09","3272","120","20","100.9","85.9","21.4","0","7.848","95","63","13.62","1","470","21.9","19.3","18.7","14.8","25","3.688"
"-259.07","3309","121","21","100.9","85.9","21.9","0","7.958","95","63","13.62","1","470","21.8","19","18.5","14.8","25","3.685"
"-259.05","3351","122","22","100.9","85.9","22.7","0","8.123","95","63","13.62","1","470","21.8","18.6","18.1","14.8","25","3.594"
"-259.03","3388","123","23","100.9","85.9","23","0","8.22","95","63","13.57","1","470","21.7","18.3","17.8","14.9","25","3.594"
"-259.01","3416","124","24","100.9","85.9","23.8","0","8.371","95","63","13.57","1","470","21.6","17.6","17.3","14.9","28","3.493"
"-258.99","3450","125","25","100.9","86.1","24.4","0","8.486","95","63","13.57","1","470","21.5","17.3","16.8","14.9","28","3.493"
"-258.97","3489","126","26","100.9","86.3","25.2","0","8.665","95","63","13.57","1","470","21.4","16.7","16.5","14.9","28","3.494"
"-258.95","3508","127","27","100.9","86.1","25.4","0","8.702","95","63","13.57","1","470","21.4","16.1","15.9","14.8","28","3.494"
"-258.93","3533","128","28","100.9","86.1","26.1","0","8.884","95","63","13.57","1","470","20.9","15.9","15.7","14.7","28","3.494"
"-258.91","3565","129","29","100.9","86.3","26.6","0","9.003","95","63","13.57","1","470","20.6","15.4","15.2","14.7","28","3.499"
"-258.89","3588","130","30","100.9","86.3","27.4","0","9.163","95","63","13.57","1","470","20.3","15.1","14.9","14.6","28","3.499"
"-258.87","3619","131","31","100.9","86.1","27.9","0","9.283","95","63","13.57","1","470","20.1","14.8","14.7","14.4","28","3.494"
"-258.85","3642","132","32","100.9","86.3","28.7","0","9.444","95","63","13.57","1","470","19.8","14.5","14.3","14.2","28","3.494"
"-258.83","3691","134","34","100.9","86.4","29.4","0","9.614","95","63","13.57","1","470","19.2","14.4","14.1","14.1","28","3.493"
"-258.81","3723","135","35","100.9","86.4","30.3","0","9.76","95","63","13.43","1","470","18.9","14.3","13.8","14","31","3.395"
"-258.79","3775","136","36","100.9","86.4","31","0","9.904","95","63","13.43","1","470","18.6","14.2","13.3","13.8","31","3.395"
"-258.77","3817","137","37","100.9","86.4","32.1","0","10.107","95","63","13.43","1","470","18.3","13.9","12.7","13.7","31","3.486"
"-258.75","3877","139","39","100.9","86.3","32.8","0","10.235","95","63","13.43","1","470","18.1","13.3","12.3","13.6","31","3.39"
"-258.73","3922","141","41","100.9","86.4","34.4","0","10.542","95","63","13.43","1","470","17.4","12.8","12","13.5","31","3.39"
"-258.71","3967","142","42","100.9","86.4","35.4","0","10.692","95","63","13.43","1","470","17.4","12.4","11.7","13.3","31","3.397"
"-258.69","4014","144","44","100.9","86.4","36.7","0","10.98","95","63","13.43","1","470","17.2","11.9","11.4","13.2","31","3.39"
